8,5,7
17,15,5
26,24,6
31,16,6
38,23,7
48,33,6
54,25,5
62,16,7
72,26,7
81,36,6
85,39,7
90,31,6

17,1,12
37,1,8
37,32,8
56,1,11
73,1,13
73,31,8
98,1,13
112,11,13
112,33,4
122,1,8
136,1,8
136,36,5
155,1,15
166,8,7
166,28,6
193,36,6
220,60,14
220,92,9
234,43,6
252,19,15
252,83,8
281,54,7
304,25,16
304,96,8
316,40,12
345,66,11
345,85,9
362,40,15
372,31,15
372,86,6
389,47,14
401,66,12
401,91,9
425,86,14
453,55,11
453,135,5
465,62,18
477,78,10
477,110,6
496,57,5
516,71,11
516,96,4
542,102,8
556,84,8
556,137,9
575,104,9
585,90,14
585,143,6
599,76,11
613,57,15
613,115,4
642,88,16
664,109,18
664,136,6
688,138,12
715,104,13
715,196,3
741,81,14
754,95,13
754,110,5
765,76,11
776,90,11
776,119,4
792,108,9
814,124,15
814,157,3
825,105,12
848,87,7
848,152,4
863,97,14
889,126,13
889,150,8
905,104,12
922,88,9
922,142,6
946,65,7
969,83,12
969,102,8
979,93,15
1008,56,16
1008,160,6
1028,42,5
1047,57,11
1047,82,8
1072,80,17
1082,64,13
1082,124,6
1108,90,12
1122,105,9
1122,135,6
1132,118,12
1158,86,13
1158,161,4
1174,101,13
1203,69,13
1203,156,6
1231,95,15
1251,115,15
1251,149,9
1262,1,112

78522,77542,1821
145076,144206,1828
145076,146421,997
145076,148460,1571
242177,241608,1239
242177,245894,941
260881,222281,1517
260881,262258,885
358047,319113,1587
358047,323036,1913
385564,346854,1387
385564,348677,984
385564,349877,1208
483381,444757,1547
532694,394854,1548
532694,496196,845
532694,497981,772
588680,338657,1328
588680,454131,1981
657308,270071,1436
657308,409752,611
694031,306641,1849
694031,310425,574
707023,320025,1216
707023,321855,651
707023,323238,1973
733223,292926,1742
802685,362374,1469
802685,364588,682
802685,366379,1826
862411,422052,1847
862411,425834,1480
910787,470799,1584
910787,472581,849
963152,417687,1344
963152,527583,707
1056860,511175,1598
1056860,513142,648
1056860,515300,511
1138694,428413,1842
1175451,392009,1546
1175451,467907,908
